"type","name","time_units","begin_time","frequency","count","units"
"signal_2d","CdP (Centre des Pressions)","s",0.000,60,1784,"mm"

"time","x","y"
8.917,-39.628026,-24.04462835
8.933,-38.84059069,-24.36864071
8.950,-37.05140358,-24.69748779
8.967,-36.29555861,-24.99900794
8.983,-35.45701888,-25.10327345
9.000,-34.01694399,-25.14983766
9.017,-33.20746359,-25.6032767
9.033,-31.96887889,-25.35817327
9.050,-30.77951935,-25.52577086
9.067,-29.85387097,-25.32247984
9.083,-28.99873335,-25.22484356
9.100,-27.96063765,-25.08874494
9.117,-26.58813482,-25.10902358
9.133,-25.19442261,-25.38571644
9.150,-24.3797386,-25.56356984
9.167,-22.77164413,-25.97072568
9.183,-21.79555634,-26.21341204
9.200,-20.7033124,-26.52729943
9.217,-19.42931524,-26.93594003
9.233,-18.3270158,-27.43386345
9.250,-17.45234879,-27.83422379
9.267,-16.18468182,-28.35443939
9.283,-15.05752427,-28.68197816
9.300,-13.9070322,-29.19910389
9.317,-13.23403846,-29.72426113
9.333,-12.64012302,-30.18637149
9.350,-11.35278229,-30.64700447
9.367,-10.28224484,-31.3684842
9.383,-9.343087045,-32.02314777
9.400,-8.22695122,-32.60118902
9.417,-6.873479319,-33.26420316
9.433,-6.457469636,-33.95489879
9.450,-4.726508533,-35.22755486
9.467,-4.447823434,-35.8067026
9.483,-2.648652908,-36.6072438
9.500,-2.00433922,-37.18436358
9.517,-1.055500813,-38.16160605
9.533,0.2397283272,-39.07916667
9.550,1.303315704,-39.51322213
9.567,1.970609756,-40.38371951
9.583,2.731981707,-41.4172561
9.600,3.972871046,-42.07600365
9.617,4.371261635,-42.75742108
9.633,5.48898073,-43.8826217
9.650,6.125035497,-44.43272312
9.667,6.94646706,-45.13049512
9.683,7.732702123,-45.99305329
9.700,8.279476317,-46.6990149
9.717,9.062530675,-47.55185583
9.733,9.827393617,-48.29779051
9.750,9.855095248,-49.02549672
9.767,10.05996642,-50.07217643
9.783,10.52116639,-51.0781199
9.800,10.11515568,-51.51399573
9.817,10.77197887,-52.65315449
9.833,10.97225359,-53.04097023
9.850,11.12929639,-54.02161512
9.867,10.87041036,-54.95914347
9.883,10.68820552,-55.70796012
9.900,10.58682598,-56.26112132
9.917,10.06750203,-57.16153612
9.933,9.693582453,-57.91708976
9.950,9.600855746,-58.2716687
9.967,9.614335985,-59.02244492
9.983,9.43374949,-59.92097941
10.000,9.110019396,-60.90476215
10.017,9.031928571,-61.8467449
10.033,8.452395363,-62.99564526
10.050,8.194359317,-64.29460613
10.067,8.031500409,-64.85488553
10.083,7.18457501,-65.53182328
10.100,7.027879902,-66.46366422
10.117,6.547284836,-67.42835041
10.133,6.021345209,-68.49757371
10.150,5.67488222,-69.36757989
10.167,5.354548711,-69.92135182
10.183,4.504292723,-70.62384505
10.200,3.7078125,-71.24469975
10.217,3.293906058,-71.8883289
10.233,2.772471394,-72.42194013
10.250,1.664484452,-73.20957447
10.267,0.8668398533,-73.70556235
10.283,-0.08817319461,-74.58587821
10.300,-0.7445423971,-75.12968304
10.317,-1.693966043,-75.75629829
10.333,-2.283321472,-76.20434628
10.350,-3.121550143,-76.75351101
10.367,-3.893267669,-77.19754265
10.383,-4.874588582,-77.67487302
10.400,-5.962103981,-78.26466288
10.417,-6.89240236,-78.70578723
10.433,-7.99918633,-79.10919447
10.450,-9.35088848,-79.87202819
10.467,-10.19820414,-80.11007508
10.483,-11.3837632,-80.65019293
10.500,-12.66076007,-81.37483211
10.517,-14.18251221,-81.91349756
10.533,-15.8278026,-82.74312551
10.550,-17.41586714,-83.4555426
10.567,-18.98337912,-84.2584707
10.583,-20.74199267,-84.97102689
10.600,-22.48522356,-85.9179512
10.617,-24.75537464,-86.61353103
